County,Offense,AverageIncarcerationLength,TotalCasesYear,TotalIncarcerationAmount,MaxSentence,MinSentence,StdDevSentence,MedianSentence,ModeSentence,AverageProbation,TotalProbationInstances,TotalProbationMonthSum,MaxProbation,MinProbation,StdDevProbation,MedianProbation,ModeProbation,ID
ATL,ABSCONDING FROM PAROLE,121.33333333333333,3,364,364,0,210.15549798502377,0.0,0,0.0,3,0,0,0,0.0,0.0,0,1
ATL,ABUSE/ABANDONMENT/CRUELTY & NE,150.83333333333334,6,905,540,0,240.13364334608897,0.0,0,8.0,6,48,36,0,14.53272169966796,0.0,0,2
ATL,ACCOMPLICE LIABILITY-3RD DEGRE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,3
ATL,ACCOMPLICE LIABILITY-OWN CONDU,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,4
ATL,AGG ARSON-PURP DESTROY STRUCTU,1094.5,2,2189,1825,364,1033.083007313546,1094.5,364,30.0,2,60,60,0,42.42640687119285,30.0,0,5
ATL,AGG ARSON-PURPOSE OR KNOWING D,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,6
ATL,AGG ASSAULT,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,7
ATL,AGG ASSAULT - ON DOMESTIC VIOL,387.4318181818182,44,17047,1825,0,572.5142588953378,0.0,0,18.681818181818183,44,822,60,0,20.097174077955877,21.0,0,8
ATL,AGG ASSAULT - STRANGLE DOMESTI,282.1290322580645,31,8746,1095,0,457.18178309694156,0.0,0,19.741935483870968,31,612,60,0,21.588527419188004,24.0,0,9
ATL,AGG ASSAULT W/ FIREARM,452.0,2,904,540,364,124.45079348883236,452.0,364,18.0,2,36,36,0,25.45584412271571,18.0,0,10
ATL,AGG ASSAULT-ASSAULT ON A HEALT,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,11
ATL,AGG ASSAULT-ATTEMPT/CAUSE BI W,494.0612244897959,49,24209,1825,0,644.2588574013834,108.0,0,15.428571428571429,49,756,60,0,19.8997487421324,0.0,0,12
ATL,AGG ASSAULT-ATTEMPT/CAUSE SBI,1624.6774193548388,31,50365,2920,0,592.9656194135133,1460.0,1825,0.0,31,0,0,0,0.0,0.0,0,13
ATL,AGG ASSAULT-ATTEMPT/CAUSE SIGN,411.46666666666664,75,30860,1825,0,606.2364032096526,0.0,0,16.64,75,1248,60,0,21.6910991833928,0.0,0,14
ATL,AGG ASSAULT-CAUSE INJURY WITH,0.0,3,0,0,0,0.0,0.0,0,0.0,3,0,0,0,0.0,0.0,0,15
ATL,AGG ASSAULT-EMERGENCY 1ST AID/,0.0,2,0,0,0,0.0,0.0,0,30.0,2,60,36,24,8.48528137423857,30.0,24,16
ATL,AGG ASSAULT-ON LAW ENFORCEMENT,221.26666666666668,30,6638,1825,0,426.6307402259559,0.0,0,16.8,30,504,60,0,19.323739196949543,6.0,0,17
