Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,County,Judgeid
ADAM E JACOBS,ABUSE/ABANDONMENT/CRUELTY & NE,125.333333333333,3,376,196,0,108.83626846476,180,0,20,3,60,60,0,34.6410161513776,0,0,PAS,
ADAM E JACOBS,AGG ASSAULT - ON DOMESTIC VIOL,76,1,76,76,76,,76,76,24,1,24,24,24,,24,24,PAS,
ADAM E JACOBS,AGG ASSAULT W/ FIREARM,540,2,1080,540,540,0,540,540,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE BI W,293.5,4,1174,1095,0,534.676537730991,39.5,0,24,4,96,60,0,25.9229627936314,18,0,PAS,
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE SBI,1825,4,7300,2555,1460,516.18795026618,1642.5,1460,0,4,0,0,0,0,0,0,PAS,
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE SIGN,234.571428571429,7,1642,1095,0,383.824984918412,88,0,16.2857142857143,7,114,36,0,10.7968249301092,18,18,PAS,
ADAM E JACOBS,AGG ASSAULT-ON LAW ENFORCEMENT,21,3,63,63,0,36.3730669589464,0,0,16,3,48,18,12,3.46410161513775,18,18,PAS,
ADAM E JACOBS,AGGRAVATED MANSLAUGHTER-EXTREM,6570,2,13140,7300,5840,1032.37590053236,6570,5840,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,AGGRAVATED SEXUAL ASSAULT - VI,2190,1,2190,2190,2190,,2190,2190,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,ASSAULT BY AUTO/VESSEL SBI VIO,364,1,364,364,364,,364,364,60,1,60,60,60,,60,60,PAS,
ADAM E JACOBS,ASSAULT BY AUTO/VESSEL-RECKLES,90,1,90,90,90,,90,90,24,1,24,24,24,,24,24,PAS,
ADAM E JACOBS,"BAD CHECKS-VALUE $1,000-<$75,0",128,1,128,128,128,,128,128,24,1,24,24,24,,24,24,PAS,
ADAM E JACOBS,BURGLARY-ENTERING STRUCTURE ET,638.571428571429,14,8940,2190,36,687.88960588899,180,1095,13.2857142857143,14,186,60,0,16.335089985524,15,0,PAS,
ADAM E JACOBS,CDS - MANU/DIST/PWID - HEROIN/,57,2,114,114,0,80.6101730552664,57,0,18,2,36,18,18,0,18,18,PAS,
ADAM E JACOBS,CDS - MANU/DIST/PWID - MARIJ<1,270,2,540,540,0,381.837661840736,270,0,6,2,12,12,0,8.48528137423857,6,0,PAS,
ADAM E JACOBS,CDS - MANU/DIST/PWID - MARIJ=/,15.5,2,31,31,0,21.920310216783,15.5,0,12,2,24,12,12,0,12,12,PAS,
ADAM E JACOBS,CDS/ANALOG - DISTRIBUTE ON/NEA,832.740740740741,27,22484,2190,0,786.465833410776,1095,0,6.44444444444445,27,174,24,0,7.96788425412791,0,0,PAS,
ADAM E JACOBS,CERT PERSON NOT TO HAVE WEAP P,2372.5,2,4745,2920,1825,774.28192539927,2372.5,1825,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,CONSPIRACY - AGREE/ENGAGE IN C,208.571428571429,14,2920,1825,0,549.168702436932,0,0,12,14,168,24,0,6.22649425995325,12,12,PAS,
ADAM E JACOBS,CREDIT CARD CRIME-CRED CARD TH,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,CREDIT CARD THEFT - FRAUDULENT,26.6666666666667,3,80,80,0,46.1880215351701,0,0,26,3,78,48,12,19.2873015219859,18,12,PAS,
ADAM E JACOBS,CRIMINAL ATTEMPT - PURPOSELY E,6752,2,13504,13140,364,9033.99623643933,6752,364,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,CRIMINAL ATTEMPT-OMISSION STEP,78,1,78,78,78,,78,78,36,1,36,36,36,,36,36,PAS,
ADAM E JACOBS,CRIMINAL MISCHIEF-DAMAGE PROPE,19,5,95,56,0,26.7020598456374,0,0,10.8,5,54,18,0,6.57267069006199,12,12,PAS,
ADAM E JACOBS,CRIMINAL SEXUAL CONTACT,0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,PAS,
ADAM E JACOBS,CRIMINAL TRESPASS-RESEARCH FAC,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,CRIMINAL TRESPASS-STRUCT OTHER,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,DISORDERLY CONDUCT-IMPROP BEHA,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,DISORDERLY CONDUCT-OFFENSIVE L,0,2,0,0,0,0,0,0,6,2,12,12,0,8.48528137423857,6,0,PAS,
ADAM E JACOBS,DIST/POSS CDS W/IN 500 FT PUBL,282,1,282,282,282,,282,282,18,1,18,18,18,,18,18,PAS,
ADAM E JACOBS,DRUG-INDUCED DEATH - STRICT LI,2190,1,2190,2190,2190,,2190,2190,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,ENDANGERING AN INJURED VICTIM,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,PAS,
ADAM E JACOBS,ENDANGERING-ABUSE/NEGLECT OF A,851.666666666667,3,2555,2555,0,1475.12993777949,0,0,12,3,36,18,0,10.3923048454133,18,18,PAS,
ADAM E JACOBS,ENDANGERING-DISTRIBUTION OF CH,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,ENDANGERING-SEXUAL CONDUCT WIT,731.714285714286,7,5122,1640,49,653.487749001646,364,364,0,7,0,0,0,0,0,0,PAS,
ADAM E JACOBS,ENDANGERING-STORE/MAINTAIN CHI,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,FORGERY-FALSE AUTH OF A WRITIN,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,FORGRY-FALSE AUTH OF WRIT-GOV,547.5,2,1095,1095,0,774.28192539927,547.5,0,6,2,12,12,0,8.48528137423857,6,0,PAS,
ADAM E JACOBS,HINDERING-FALSE INFO-UNDERLYIN,21,1,21,21,21,,21,21,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,HINDERING-HIDE EVID-UNDERLYING,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,IDENTITY CRIME-IMPERSONATN-VAL,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,IMPERSONATE A LAW ENFORCEMENT,123,1,123,123,123,,123,123,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,MANUF/DISTR CDS OR INTENT TO M,992,7,6944,2190,0,980.476754781401,1095,0,6,7,42,18,0,7.74596669241483,0,0,PAS,
ADAM E JACOBS,OBSTRUCT ADMIN OF LAW-OBSTRUCT,117,6,702,539,0,211.843338342276,20,0,4,6,24,12,0,6.19677335393187,0,0,PAS,
ADAM E JACOBS,OPERATE MV DURING LICENSE SUSP,210.833333333333,6,1265,365,180,75.5259337358147,180,180,10,6,60,24,0,11.1713920350152,9,0,PAS,
ADAM E JACOBS,"POSS CDS - < 50G MARIJUANA, 5G",0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,PAS,
ADAM E JACOBS,"POSS CDS - > 50G MARIJUANA, 5G",0,5,0,0,0,0,0,0,12,5,60,12,12,0,12,12,PAS,
ADAM E JACOBS,POSS CDS-FAILS TO GIVE CDS TO,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,POSS CDS/ANALOG - SCHD I II II,167.64,75,12573,1825,0,376.446279143626,0,0,14.8533333333333,75,1114,60,0,10.1511460321368,18,18,PAS,
ADAM E JACOBS,"POSS GAMBLING RECORDS, BOOKMAK",0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,PAS,
ADAM E JACOBS,POSS OF GAMMA HYDROXYBUTYRATE,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,POSS OF WEAPON FOR UNLAWFUL PU,826.75,4,3307,1825,0,953.70274020088,741,0,3,4,12,12,0,6,0,0,PAS,
ADAM E JACOBS,POSSESSION OF A FALSE GOVERNME,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,POSSESSION OF FIREARM WHILE CO,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,PRESC/LEGEND DRUGS-DISTRIBUTE,1460,1,1460,1460,1460,,1460,1460,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,RECEIVNG STOLEN PROP-KNOW PROP,317.5,6,1905,1095,0,398.718321625681,158.5,0,11,6,66,18,0,8.83176086632785,15,18,PAS,
ADAM E JACOBS,REG OF SEX OFF-NOTICE OF CHANG,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,PAS,
