County,Offense,AverageIncarcerationLength,TotalCasesYear,TotalIncarcerationAmount,MaxSentence,MinSentence,StdDevSentence,MedianSentence,ModeSentence,AverageProbation,TotalProbationInstances,TotalProbationMonthSum,MaxProbation,MinProbation,StdDevProbation,MedianProbation,ModeProbation,ID
ATL,ABSCONDING FROM PAROLE,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,1
ATL,ABUSE/ABANDONMENT/CRUELTY & NE,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0,2
ATL,AGG ARSON-PURP DESTROY STRUCTU,1094.5,2,2189,1825,364,1033.083007313546,1094.5,364,30.0,2,60,60,0,42.42640687119285,30.0,0,3
ATL,AGG ASSAULT - ON DOMESTIC VIOL,436.5,26,11349,1460,0,590.3134929848716,0.0,0,15.0,26,390,60,0,17.738094598913378,12.0,0,4
ATL,AGG ASSAULT - STRANGLE DOMESTI,521.2857142857143,7,3649,1095,0,551.8755035590649,364.0,0,10.285714285714286,7,72,48,0,18.883099019266638,0.0,0,5
ATL,AGG ASSAULT-ASSAULT ON A HEALT,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,6
ATL,AGG ASSAULT-ATTEMPT/CAUSE BI W,595.1666666666666,18,10713,1825,0,726.019222723962,64.5,0,12.0,18,216,60,0,18.861725951841017,0.0,0,7
ATL,AGG ASSAULT-ATTEMPT/CAUSE SBI,1703.3333333333333,9,15330,2555,1095,408.08240589371155,1825.0,1825,0.0,9,0,0,0,0.0,0.0,0,8
ATL,AGG ASSAULT-ATTEMPT/CAUSE SIGN,397.5,30,11925,1825,0,705.6004412970705,0.0,0,21.2,30,636,60,0,22.873565528793275,24.0,0,9
ATL,AGG ASSAULT-ON LAW ENFORCEMENT,285.7,10,2857,1095,0,447.9873634130518,0.0,0,8.4,10,84,36,0,13.91402170474087,0.0,0,10
ATL,AGG SEX ASSAULT-V >=13 & < 16-,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,11
ATL,"AGG SEX ASSAULT-V HELPLESS, IN",5110.0,1,5110,5110,5110,,5110.0,5110,0.0,1,0,0,0,,0.0,0,12
ATL,AGGRAVATED CRIMINAL SEXUAL CON,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,13
ATL,AGGRAVATED MANSLAUGHTER-EXTREM,5694.0,10,56940,9125,3650,1948.186906388148,5475.0,3650,0.0,10,0,0,0,0.0,0.0,0,14
ATL,AGGRAVATED SEXUAL ASSAULT - VI,4105.0,2,8210,5475,2735,1937.4725804511402,4105.0,2735,0.0,2,0,0,0,0.0,0.0,0,15
ATL,ARSON-RECKLESS DANGER TO BLDG/,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,16
ATL,ASSAULT BY AUTO/VESSEL BI VIOL,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,24,12,8.48528137423857,18.0,12,17
