Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,ID
ADAM E JACOBS,VIOLATION OF FIREARMS REGULATI,2.0,1,2,2,2,,2.0,2,12.0,1,12,12,12,,12.0,12,1
ALVIN LITTLE,AGG ASSAULT - ON DOMESTIC VIOL,155.0,1,155,155,155,,155.0,155,36.0,1,36,36,36,,36.0,36,2
ALVIN LITTLE,AGG ASSAULT W/ FIREARM,540.0,1,540,540,540,,540.0,540,0.0,1,0,0,0,,0.0,0,3
ALVIN LITTLE,AGG ASSAULT-ATTEMPT/CAUSE BI W,0.0,3,0,0,0,0.0,0.0,0,13.0,3,39,24,0,12.12435565298214,15.0,0,4
ALVIN LITTLE,AGG ASSAULT-ATTEMPT/CAUSE SIGN,0.0,2,0,0,0,0.0,0.0,0,8.0,2,16,16,0,11.313708498984761,8.0,0,5
ALVIN LITTLE,AGG ASSAULT-ON LAW ENFORCEMENT,270.0,2,540,540,0,381.8376618407357,270.0,0,9.0,2,18,18,0,12.727922061357855,9.0,0,6
ALVIN LITTLE,BURGLARY-ENTERING STRUCTURE ET,0.0,3,0,0,0,0.0,0.0,0,20.0,3,60,27,15,6.244997998398398,18.0,15,7
ALVIN LITTLE,CONTEMPT - VIOLATE DOMESTIC VI,0.0,1,0,0,0,,0.0,0,6.0,1,6,6,6,,6.0,6,8
ALVIN LITTLE,CONTEMPT - VIOLATE DV ORDER BY,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,9
ALVIN LITTLE,CONTEMPT-VIOLATE JUDICIAL/REST,365.0,1,365,365,365,,365.0,365,0.0,1,0,0,0,,0.0,0,10
ALVIN LITTLE,CRIMINAL MISCHIEF-DAMAGE PROPE,547.5,2,1095,1095,0,774.2819253992695,547.5,0,7.5,2,15,15,0,10.606601717798213,7.5,0,11
ALVIN LITTLE,DISORDERLY CONDUCT-IMPROP BEHA,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,12
ALVIN LITTLE,FORGERY-UTTER FORGED DOCS-GOV,0.0,1,0,0,0,,0.0,0,15.0,1,15,15,15,,15.0,15,13
ALVIN LITTLE,HARASSMENT-COMMUNICATION IN MA,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,14
ALVIN LITTLE,HINDERING-ONESELF-HIDE/SUPPRES,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,15
ALVIN LITTLE,MANUF/DISTR CDS OR INTENT TO M,608.3333333333334,3,1825,1825,0,1053.6642412710669,0.0,0,12.0,3,36,18,0,10.392304845413264,18.0,18,16
ALVIN LITTLE,OBSTRUCT ADMIN OF LAW-OBSTRUCT,1095.0,2,2190,2190,0,1548.563850798539,1095.0,0,0.0,2,0,0,0,0.0,0.0,0,17
ALVIN LITTLE,POSS CDS-FAILS TO GIVE CDS TO,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,18
ALVIN LITTLE,POSS CDS/ANALOG - SCHD I II II,0.0,3,0,0,0,0.0,0.0,0,19.0,3,57,21,18,1.7320508075688772,18.0,18,19
ALVIN LITTLE,POSS OF WEAPON FOR UNLAWFUL PU,155.0,1,155,155,155,,155.0,155,36.0,1,36,36,36,,36.0,36,20
ALVIN LITTLE,RECEIVNG STOLEN PROP-KNOW PROP,0.0,3,0,0,0,0.0,0.0,0,20.0,3,60,21,18,1.7320508075688772,21.0,21,21
ALVIN LITTLE,RESIST ARR/ELUD-AFTER INSTRUCT,0.0,1,0,0,0,,0.0,0,27.0,1,27,27,27,,27.0,27,22
ALVIN LITTLE,RESIST ARR/ELUD-FLIGHT PREVENT,0.0,1,0,0,0,,0.0,0,15.0,1,15,15,15,,15.0,15,23
ALVIN LITTLE,ROBBERY-INFLICTS BI OR USES FO,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,24
ALVIN LITTLE,SIMPLE ASSAULT-THREAT OF SBI B,0.0,1,0,0,0,,0.0,0,15.0,1,15,15,15,,15.0,15,25
ALVIN LITTLE,SIMPLE ASSAULT-THREAT SBI PHYS,0.0,1,0,0,0,,0.0,0,6.0,1,6,6,6,,6.0,6,26
