Offense,AverageIncarcerationDays,TotalCasesDays,TotalIncarcerationDays,MaxSentenceDays,MinSentenceDays,StdDevSentence,MedianSentence,ModeSentence,AverageProbationMonth,TotalProbationMonthInstances,TotalProbationMonths,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth
ABANDON/NEGLECT OF ELDERLY/DIS,364.0,1,364,364,364,,364.0,364,60.0,1,60,60,60,,60.0,60
ABC ACT UNLAWFULLY MANUFACTURE,0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36
ABSCONDING FROM PAROLE,588.375,16,9414,1095,0,456.73812701225927,392.5,1095,3.0,16,48,24,0,8.19756061276768,0.0,0
ABUSE/ABANDONMENT/CRUELTY & NE,70.41025641025641,39,2746,914,0,194.86914880297414,0.0,0,18.153846153846153,39,708,60,0,15.046486670768136,18.0,12
ACCOMPLICE LIABILITY-1ST DEGRE,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0
ACCOMPLICE LIABILITY-2ND DEGRE,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0
ACCOMPLICE LIABILITY-3RD DEGRE,272.0,2,544,364,180,130.10764773832474,272.0,180,29.0,2,58,36,22,9.899494936611665,29.0,22
ACCOMPLICE LIABILITY-AIDS ETC,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0
ACCOMPLICE LIABILITY-OWN CONDU,1975.2941176470588,17,33580,4380,0,1505.258979574025,2190.0,0,6.352941176470588,17,108,60,0,16.49598881724959,0.0,0
ACCOMPLICE LIABILITY-SOLICIT A,14600.0,1,14600,14600,14600,,14600.0,14600,0.0,1,0,0,0,,0.0,0
AGG ARSON-DANGER OF BI,1216.6666666666667,3,3650,1460,1095,210.73284825421342,1095.0,1095,0.0,3,0,0,0,0.0,0.0,0
AGG ARSON-PURP DESTROY STRUCTU,1891.2727272727273,11,20804,3650,0,1043.0272375071602,1825.0,1825,10.909090909090908,11,120,60,0,24.271195048676717,0.0,0
AGG ARSON-PURPOSE OR KNOWING D,2691.875,8,21535,5110,1460,1119.7063948706757,2555.0,2555,0.0,8,0,0,0,0.0,0.0,0
AGG ARSON-TO COLLECT INSUR + R,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60
AGG ASLT-BODILY INJURY,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
AGG ASSAULT,414.5,8,3316,1460,0,572.7856742023395,110.5,0,28.5,8,228,60,0,27.913130550743624,24.0,0
AGG ASSAULT - ON DOMESTIC VIOL,391.79245283018867,265,103825,1825,0,552.5051816050237,141.0,0,21.70188679245283,265,5751,60,0,17.69966711900253,24.0,0
AGG ASSAULT - STRANGLE DOMESTI,267.6510067114094,149,39880,1460,0,407.96472300748553,55.0,0,22.13422818791946,149,3298,60,0,18.571504515644538,24.0,0
AGG ASSAULT W/ FIREARM,537.35,80,42988,1825,0,344.4186847134558,540.0,540,4.05,80,324,36,0,10.578100138098788,0.0,0
AGG ASSAULT-ASSAULT ON A HEALT,497.4,5,2487,1460,127,562.0403010461082,186.0,127,16.8,5,84,36,0,16.099689437998485,24.0,0
AGG ASSAULT-ASSAULT ON BUS DRI,182.66666666666666,3,548,540,0,309.4855947105347,8.0,0,20.0,3,60,60,0,34.64101615137755,0.0,0
AGG ASSAULT-ASSAULT ON CORREC/,616.9166666666666,24,14806,1825,0,469.7242407187866,540.0,540,13.0,24,312,60,0,20.909743932060668,0.0,0
AGG ASSAULT-ATTEMPT/CAUSE BI W,430.3488372093023,172,74020,1825,0,594.4545146591454,100.5,0,20.63372093023256,172,3549,60,0,19.233244309229445,24.0,0
AGG ASSAULT-ATTEMPT/CAUSE SBI,1773.3956043956043,182,322758,5840,0,769.5514712752474,1825.0,1825,2.5384615384615383,182,462,84,0,10.964339678311028,0.0,0
AGG ASSAULT-ATTEMPT/CAUSE SIGN,482.57475083056477,301,145255,2555,0,604.6902831701154,204.0,0,19.877076411960132,301,5983,60,0,19.54042406800515,18.0,0
AGG ASSAULT-CAUSE BODILY INJUR,1733.75,8,13870,3650,1095,844.8108410424533,1642.5,1095,0.0,8,0,0,0,0.0,0.0,0
